id,one,two
0,94,1272
1,672,1113
2,856,243
3,188,1005
4,815,626
5,298,464
6,902,124
7,877,1268
8,1245,751
9,1073,213
10,452,1262
11,265,509
12,432,359
13,535,945
14,1233,542
15,472,593
16,641,1188
17,46,1053
18,1105,606
19,902,495
20,950,127
21,47,785
22,100,512
23,1001,1027
24,714,1224
25,896,373
26,841,1037
27,409,942
28,918,467
29,677,791
30,517,165
31,1252,593
32,138,1127
33,16,121
34,235,346
35,278,1102
36,771,373
37,1292,398
38,605,8
39,1037,1119
40,624,1033
41,78,445
42,134,100
43,1207,1238
44,1079,366
45,1111,732
46,209,911
47,600,208
48,246,752
49,629,531
50,543,852
51,87,149
52,138,1046
53,736,1088
54,358,364
55,710,1053
56,924,838
57,635,1026
58,1047,145
59,4,126
60,821,1091
61,688,64
62,984,277
63,567,1068
64,533,814
65,218,14
66,575,790
67,807,1042
68,1277,871
69,214,899
70,659,88
71,897,536
72,332,853
73,65,1210
74,709,1222
75,308,49
76,214,1277
77,1027,7
78,484,616
79,691,39
80,636,263
81,721,1040
82,85,581
83,551,205
84,90,146
85,629,603
86,1229,889
87,711,620
88,831,42
89,610,847
90,358,1136
91,1298,955
92,47,732
93,900,1083
94,837,480
95,1119,775
96,990,307
97,424,76
98,868,1312
99,380,1245
100,551,562
101,725,123
102,299,477
103,950,1097
104,286,684
105,402,1267
106,1014,207
107,263,944
108,684,3
109,372,11
110,42,1017
111,291,1055
112,1166,875
113,702,608
114,715,729
115,131,1096
116,978,933
117,628,1073
118,1071,1121
119,1266,1031
120,1189,128
121,679,245
122,1132,1291
123,1176,193
124,1267,1250
125,767,103
126,1015,1064
127,143,178
128,171,1146
129,616,1111
130,1262,1141
131,299,1040
132,21,365
133,980,768
134,13,1109
135,412,465
136,1273,480
137,923,164
138,1259,774
139,261,1280
140,1259,110
141,884,1091
142,731,492
143,469,1059
144,753,794
145,463,989
146,674,722
147,1265,559
148,837,811
149,612,334
150,497,988
151,377,106
152,916,1194
153,560,136
154,565,492
155,1142,707
156,397,457
157,1254,1057
158,624,1094
159,170,786
160,723,1032
161,57,1120
162,629,908
163,858,614
164,300,596
165,848,402
166,258,1075
167,232,442
168,1197,1075
169,780,858
170,865,1286
171,372,685
172,1002,1237
173,449,38
174,103,555
